submission_id,title,abstract,fullname,talk_format,starttime,endtime,url,track
0,Conference Opening with organizers,"Join neuromatch 2.0 conference opening with Konrad Kording (UPenn), Dan Goodman (Imperial), Brad Wyble (Penn State), Tim Vogels (Oxford), Chris Rozell (Georgia Tech), Yiota Poirazi (IMBB/FORTH)",Conference Opening,Keynote,2020-05-25 12:40:00+00:00,2020-05-25 13:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/1,main
1,Reconstructing sound source location in auditory cortex,"The spatial location of a sound source must be reconstructed from sound localization cues, principally available through the comparison of the timing and level of the sound at the two ears. While nuclei in thebrainstem are responsible for extracting these cues, one of the mostconsistent consequences of auditory cortical inactivation in mammals isan impairment in sound localization. What role, then, does auditorycortex play in this process? We asked whether primary auditory corticalneurons represent sound localization cues, or locations of sound in theworld. When recording from freely moving ferrets performing a soundlocalisation task some neurons only encoded low frequency timing cues,or high frequency level cues, many cortical neurons encoded location inspace across sound localization cue types. Next, we asked whatcoordinate frame neurons in auditory cortex represented auditory space.Since auditory space is reconstructed from a comparison of signals atthe two ears, spatial receptive fields have long been assumed to beanchored to the direction of the head. However, all previous recordingshave been made in animals whose heads are fixed or maintained at the center of a speaking ring, leaving this assumption untested. We recordedspatial receptive fields in animals foraging freely through a soundfield and observed that while many neurons did encode auditory space ina head centered reference frame, a smaller subpopulation encoded thelocation of the source in the world. Both of these findings areconsistent with auditory cortex playing a key role in the construction of auditory objects that are defined by their identity and location inthe world.",Jenny Bizley (UCL),Keynote,2020-05-25 13:00:00+00:00,2020-05-25 14:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/2,main
2,"The role of ""learning"" vs innate mechanisms in AI","The debate between  Timothy Lillicrap and Anthony Zador on his recent paper: ""A critique of pure learning and what artificial neural networks can learn from animal brains"" (https://www.nature.com/articles/s41467-019-11786-6)",Debate: Anthony Zador (Cold Spring Harbor) vs. Timothy Lillicrap (Google DeepMind),Keynote,2020-05-25 14:00:00+00:00,2020-05-25 15:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/3,main
3,neuromatch social,"Join us for an open mic social hour on Crowdcast where we ask attendess on stage to dance, sing, tell jokes, show off their toddler, etc. A sign-up sheet will be available for registered attendees.",Social / Open Mic,Keynote,2020-05-25 15:30:00+00:00,2020-05-25 16:30:00+00:00,https://www.crowdcast.io/e/neuromatch2/4,main
4,"Neuronal regulation of immunity: Why, how and where?","The philosophical mind-body problem examines the relationship between the mind, a mental process, and its impact on the body, a physical entity. Such interactions are manifested in modern medicine by the emergence of disease following stress, or recovery in response to placebo treatment. Nevertheless, this fundamental aspect of physiology remains largely unexplored. In this talk I will focus on a specific aspect of brain-body interactions, the dialog between the brain and the immune system, the body’s main protection mechanism. I will demonstrate mechanisms whereby these two systems can work in coordination, how the brain detects immune activity and how specific brain activity can orchestrate immune response to cancer and gut inflammation.",Asya Rolls (Technion),Keynote,2020-05-25 16:00:00+00:00,2020-05-25 17:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/5,main
5,Differential Resilience of Neurons and Networks to Perturbation,"Both computational and experimental results in single neurons and small networks demonstrate that very similar network function can result from quite disparate sets of neuronal and network parameters. Using the crustacean stomatogastric nervous system, we now study the influence of these differences in underlying structure on differential resilience of individuals to a variety of environmental perturbations, including changes in temperature, pH, potassium concentration and neuromodulation.  We show that neurons with many different kinds of ion channels can smoothly move through different mechanisms in generating their activity patterns, thus extending their dynamic range.",Eve Marder (Brandeis U),Keynote,2020-05-25 17:00:00+00:00,2020-05-25 18:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/6,main
6,Connectomes across development reveal brain-wide synaptic rewiring in C. elegans,"From birth to adulthood, an animal's nervous system changes as its body grows and its behaviours mature. However, the extent of circuit remodeling across the connectome is poorly understood. Here, we used serial-section electron microscopy to reconstruct the brain of eight isogenic C. elegans individuals at different ages to learn how an entire wiring diagram changes with maturation. We found that the overall geometry of the nervous system is preserved from birth to adulthood, establishing a constant scaffold upon which synaptic change is built. We observed substantial connectivity differences among individuals that make each brain partly unique. We also observed developmental connectivity changes that are consistent between animals but different among neurons, altering the strengths of existing connections and creating additional connections. Collective synaptic changes alter information processing of the brain. Across maturation, the decision-making circuitry is maintained whereas sensory and motor pathways are substantially remodelled, and the brain becomes progressively more modular and feedforward. These synaptic changes reveal principles by which maturation shapes brain and behavior across development.",Contributed talks,Contributed talks,2020-05-25 18:00:00+00:00,2020-05-25 18:30:00+00:00,https://www.crowdcast.io/e/neuromatch2/7,main
7,Revealing the multidimensional mental representations of natural objects ,"Our mental representations of objects are assumed to be characterized according to numerous object dimensions (e.g. animacy, shape, color, function). While several such dimensions have been suggested to govern our similarity judgments and behavior, we are still lacking a comprehensive description of the core dimensions that allow us to accurately generate these mental representations. Here we developed a computational model of object similarity for images of 1,854 natural objects based on crowdsourcing 1.46 million triplet odd-one-out similarity judgments. This model captured most explainable variance in behavior and pairwise object similarity and produced 49 highly reproducible and interpretable object dimensions reflecting both perceptual and conceptual properties of those objects. The dimensions predicted external behavior such as category membership and typicality judgments, suggesting that the identified dimensions generalize to behavior beyond the specific task. Importantly, when exposing participants to those dimensions, they were able to assign dimension values to new objects that allowed accurate reconstruction of object similarity, opening up the pathway towards a generative model of object similarity. Together, these results reveal a low-dimensional, interpretable representational embedding that accurately captures human similarity judgments for thousands of objects.",Contributed talks,Contributed talks,2020-05-25 18:30:00+00:00,2020-05-25 19:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/7,main
8,Training deep neural density estimators to identify mechanistic models of neural dynamics,"Mechanistic modeling in neuroscience aims to explain observed phenomena in terms of underlying causes. However, determining which model parameters agree with complex and stochastic neural data presents a significant challenge. We address this challenge with a machine learning tool which uses deep neural density estimators— trained using model simulations— to carry out Bayesian inference and retrieve the full space of parameters compatible with raw data or selected data features. Our method is scalable in parameters and data features, and can rapidly analyze new data after initial training. We demonstrate the power and flexibility of our approach on receptive fields, ion channels, and Hodgkin–Huxley models. We also characterize the space of circuit configurations giving rise to rhythmic activity in the crustacean stomatogastric ganglion, and use these results to derive hypotheses for underlying compensation mechanisms. Our approach will help close the gap between data-driven and theory-driven models of neural dynamics.",Jakob Macke (TU Munich),Keynote,2020-05-25 19:00:00+00:00,2020-05-25 20:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/8,main
9,Burst-dependent synaptic plasticity can coordinate learning in hierarchical circuits,"Synaptic plasticity is believed to be a key physiological mechanism for learning. It is well-established that it depends on pre and postsynapticactivity. However, models that rely solely on pre and postsynapticactivity for synaptic changes have, to date, not been able to accountfor learning complex tasks that demand hierarchical networks. Here, weshow that if synaptic plasticity is regulated by high-frequency burstsof spikes, then neurons higher in the hierarchy can coordinate theplasticity of lower-level connections. Using simulations andmathematical analyses, we demonstrate that, when paired with short-termsynaptic dynamics, regenerative activity in the apical dendrites, andsynaptic plasticity in feedback pathways, a burst-dependent learningrule can solve challenging tasks that require deep networkarchitectures. Our results demonstrate that well-known properties ofdendrites, synapses, and synaptic plasticity are sufficient to enablesophisticated learning in hierarchical circuits.",Richard Naud (U Ottawa),Keynote,2020-05-25 20:00:00+00:00,2020-05-25 21:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/9,main
10,Recursive cortical network: A generative vision model with deep grounding in neuroscience.,"Modern deep neural networks resemble the feed-forward hierarchy of simple and complex cells in the neocortex. Neuroscience has postulated computational roles for lateral and feedback connections, segregated contour and surface representations, and border-ownership coding observed in the visual cortex, yet these features are not commonly used by deep neural networks. Recursive cortical network (RCN) is a new computational model that systematically incorporates these neuroscience findings into its representational structure, and inference algorithms. We show that this leads to orders of magnitude improvements in data-efficiency and generalization on many standard AI benchmarks, which are important for the next frontier of AI algorithms. 

We discuss how these neuroscience observations are not hacks, but general principles that deep models will have to incorporate for better data efficiency. For instance, factorization of contours and appearance, is intertwined with the general properties of smoothness of natural signals. Border-ownership signaling is important when shape is represented in a hierarchical manner. Lateral connections work in coordination with pooling to encode shape in an invariant manner while preserving specificity. Understanding how these disparate observations combine together into a coherent representational structure is one of the problems being tackled by RCN. 

In this work we will show that RCN, by virtue of capturing the causal semantics of image generation, is more robust to clutter and adversarial images compared to standard deep NNs.  As a generative model, RCN outperforms neural network models when tested on noisy and cluttered examples and generated realistic samples from one-shot training of handwritten characters. We will show that this performance translates to real-world scenarios and demonstrate how RCN improves the efficiency or robot picking in cluttered factory environments. 

In contrast to current deep generative models, RCN can be flexibly queried: it can answer queries it was not trained on. We emonstrate how this property is important for occlusion reasoning and amodal completion, and show that RCN outperforms deep convolutional networks on these tasks. Using two benchmark datasets based on real-world objects and MNIST digits, we show that RCN can recognize digits and objects which require inferring subjective contours, and show that its performance matches human psychophysics in dealing with occlusions.

Moreover, by mapping the graphical model computations to known cortical anatomy and physiology, we demonstrate how the graphical model of RCN can make precise predictions about visual cortical microcircuits, and simulate the cortical dynamics of subjective contour effects, and neon color spreading. 

Our work demonstrates that structured probabilistic models that incorporate inductive biases from neuroscience can lead to robust, generalizable machine learning models that learn with high data efficiency. It can trigger discussions that are highly relevant for this conference : inductive biases, representation of prior knowledge, robust generalization,  flexible inference, and AI models that are deeply grounded in neuroscience.",Contributed talks,Contributed talks,2020-05-25 21:00:00+00:00,2020-05-25 22:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/10,main
11,Spatial maps in piriform cortex during olfactory navigation,"Animals rely on chemical signals to forage for food, shelter, and mates. Such behaviors call for odor cues to be linked to locations within their environment. Nonetheless, where and how this happens in the brain is not known. Here, we show that spatial and olfactory information converge in posterior piriform cortex (pPCx), an olfactory region with strong associative circuity. Ensembles of pPCx neurons recorded in rats performing an odor-cued spatial navigation task were robustly selective for both odor identity and spatial location, forming an olfactory space map. Spatially-selective pPCx neurons displayed joint selectivity for odors, stability across behavioral contexts and functional coupling to the hippocampal theta rhythm. These results implicate the pPCx as a strong candidate region to associate spatial and olfactory information in support of navigational behavior.",Contributed talks,Contributed talks,2020-05-25 21:00:00+00:00,2020-05-25 22:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/10,main
12,Cortical Cartography: Characterising the peaks and valleys of the cerebral cortex,,Christopher Madan (University of Nottingham),Short talk,2020-05-25 22:00:00+00:00,2020-05-25 22:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/11,A
13,[No talk],,,Short talk,2020-05-25 22:20:00+00:00,2020-05-25 22:40:00+00:00,https://www.crowdcast.io/e/neuromatch2/11,A
14,Neural mechanisms for hue and luminance contrast uncovered with MEG,,Bevil Conway (National Eye Institute),Short talk,2020-05-25 22:40:00+00:00,2020-05-25 23:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/11,A
15,Phasic dopamine generates distinct stimulus encoding in ventral striatum that drives VTA reward prediction signaling,,Eleonora Russo (CIMH - Central Institute of Mental Health),Short talk,2020-05-25 22:00:00+00:00,2020-05-25 22:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/12,C
16,Fast recurrent processing via ventral prefrontal cortex is needed by the primate ventral stream for robust core visual object recognition,,Kohitij Kar (Massachusetts Institute of Technology),Short talk,2020-05-25 22:20:00+00:00,2020-05-25 22:40:00+00:00,https://www.crowdcast.io/e/neuromatch2/12,C
17,Single Trial Decoding of Movement Intentions using Functional Ultrasound Neuroimaging,,Sumner L Norman,Short talk,2020-05-25 22:40:00+00:00,2020-05-25 23:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/12,C
18,Learning with a wake-sleep discriminator that resembles surprise,,Ari Benjamin (University of Pennsylvania),Short talk,2020-05-25 22:00:00+00:00,2020-05-25 22:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/13,D
19,Pre-stimulus phase and amplitude regulation of phase-locked responses are maximized in the critical state,,Arthur-Ervin Avramiea (VU University Amsterdam),Short talk,2020-05-25 22:20:00+00:00,2020-05-25 22:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/13,D
20,Burst Coding Despite a Unimodal Interspike Interval Distribution,,Ezekiel Williams (University of Ottawa),Short talk,2020-05-25 22:40:00+00:00,2020-05-25 22:40:00+00:00,https://www.crowdcast.io/e/neuromatch2/13,D
21,Closed-loop control of switching neural dynamics,,Adam Willats (Georgia Institute of Technology),Short talk,2020-05-25 22:00:00+00:00,2020-05-25 22:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/14,E
22,Psychophysical scaling and the nature of memory: Noisy familiarity signals explain visual memory errors,,"Timothy Brady (University of California, San Diego)",Short talk,2020-05-25 23:00:00+00:00,2020-05-25 23:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/15,B
23,Hierarchical statistical learning: Behavioral and recurrent neural network modeling investigations,,Cybelle Smith (University of Pennsylvania),Short talk,2020-05-25 23:20:00+00:00,2020-05-25 23:40:00+00:00,https://www.crowdcast.io/e/neuromatch2/15,B
